4.674418383102212360e-01 1.652926832171497384e-01
5.318111132085732162e-01 9.969802731375023708e-01
6.765038811373905725e-01 4.617274172861193238e-01
1.678759109712877340e-01 5.952918436161414029e-03
4.367355337313373331e-01 3.703082949611073982e-01
8.462144266071391918e-02 2.735471891926372079e-01
7.968304035823651210e-01 9.702499655191876293e-03
1.710249978947553373e-02 5.712421074921592012e-02
4.434591306424872093e-01 5.266351210580474396e-01
5.883114103612182566e-01 2.054459057484495643e-01
6.847166011185205070e-01 6.257192042209913652e-01
8.977273627114380483e-01 7.492452839429145639e-01
